"RefGroupSize","FocalGroupSize","nItems","prevRate","difRate","difType","balanced","aStrength","bStrength","rep","dif_items","method","TP_full","TN_full","FP_full","FN_full","accuracy_full","sensitivity_full","specificity_full","precision_full","npv_full","f1score_full","method_focal","TP_focal","TN_focal","FP_focal","FN_focal","accuracy_focal","sensitivity_focal","specificity_focal","precision_focal","npv_focal","f1score_focal","method_ref","TP_ref","TN_ref","FP_ref","FN_ref","accuracy_ref","sensitivity_ref","specificity_ref","precision_ref","npv_ref","f1score_ref"
400,100,40,0.3,0.7,"b",TRUE,0,2,1,"3, 20, 19, 14, 30, 6, 2, 25, 35, 21, 31, 38, 12, 15, 36, 13, 8, 24, 29, 7, 16, 39, 37, 28, 1, 9, 32, 33","IRT",62,168,19,1,0.92,0.898395721925134,0.984126984126984,0.994082840236686,0.898395721925134,0.943820224719101,"IRT",11,30,2,1,0.931818181818182,0.9375,0.916666666666667,0.967741935483871,0.9375,0.952380952380952,"IRT",51,138,17,0,0.91747572815534,0.890322580645161,1,1,0.890322580645161,0.9419795221843
400,100,40,0.3,0.7,"b",TRUE,0,2,1,"3, 20, 19, 14, 30, 6, 2, 25, 35, 21, 31, 38, 12, 15, 36, 13, 8, 24, 29, 7, 16, 39, 37, 28, 1, 9, 32, 33","rf_probs",0,82,105,63,0.328,0.438502673796791,0,0.56551724137931,0.438502673796791,0.493975903614458,"rf_probs",0,17,15,12,0.386363636363636,0.53125,0,0.586206896551724,0.53125,0.557377049180328,"rf_probs",0,65,90,51,0.315533980582524,0.419354838709677,0,0.560344827586207,0.419354838709677,0.47970479704797
400,100,40,0.3,0.7,"b",TRUE,0,2,1,"3, 20, 19, 14, 30, 6, 2, 25, 35, 21, 31, 38, 12, 15, 36, 13, 8, 24, 29, 7, 16, 39, 37, 28, 1, 9, 32, 33","rf_class",59,177,10,4,0.944,0.946524064171123,0.936507936507937,0.977900552486188,0.946524064171123,0.96195652173913,"rf_class",10,30,2,2,0.909090909090909,0.9375,0.833333333333333,0.9375,0.9375,0.9375,"rf_class",49,147,8,2,0.951456310679612,0.948387096774194,0.96078431372549,0.986577181208054,0.948387096774194,0.967105263157895
400,100,40,0.3,0.7,"b",TRUE,0,2,2,"5, 18, 21, 8, 34, 27, 17, 28, 11, 9, 25, 38, 13, 33, 4, 16, 30, 7, 12, 37, 1, 22, 6, 36, 14, 20, 31, 2","IRT",65,170,13,2,0.94,0.92896174863388,0.970149253731343,0.988372093023256,0.92896174863388,0.957746478873239,"IRT",10,33,3,0,0.934782608695652,0.916666666666667,1,1,0.916666666666667,0.956521739130435,"IRT",55,137,10,2,0.941176470588235,0.931972789115646,0.964912280701754,0.985611510791367,0.931972789115646,0.958041958041958
400,100,40,0.3,0.7,"b",TRUE,0,2,2,"5, 18, 21, 8, 34, 27, 17, 28, 11, 9, 25, 38, 13, 33, 4, 16, 30, 7, 12, 37, 1, 22, 6, 36, 14, 20, 31, 2","rf_probs",0,88,95,67,0.352,0.480874316939891,0,0.567741935483871,0.480874316939891,0.520710059171598,"rf_probs",0,20,16,10,0.434782608695652,0.555555555555556,0,0.666666666666667,0.555555555555556,0.606060606060606,"rf_probs",0,68,79,57,0.333333333333333,0.462585034013605,0,0.544,0.462585034013605,0.5
400,100,40,0.3,0.7,"b",TRUE,0,2,2,"5, 18, 21, 8, 34, 27, 17, 28, 11, 9, 25, 38, 13, 33, 4, 16, 30, 7, 12, 37, 1, 22, 6, 36, 14, 20, 31, 2","rf_class",60,175,8,7,0.94,0.956284153005464,0.895522388059702,0.961538461538462,0.956284153005464,0.958904109589041,"rf_class",10,34,2,0,0.956521739130435,0.944444444444444,1,1,0.944444444444444,0.971428571428571,"rf_class",50,141,6,7,0.936274509803922,0.959183673469388,0.87719298245614,0.952702702702703,0.959183673469388,0.955932203389831
400,100,40,0.3,0.7,"b",TRUE,0,2,3,"22, 38, 2, 4, 21, 24, 18, 8, 35, 33, 40, 16, 19, 3, 17, 9, 26, 14, 5, 25, 12, 39, 29, 13, 34, 7, 28, 23","IRT",68,158,16,8,0.904,0.908045977011494,0.894736842105263,0.951807228915663,0.908045977011494,0.929411764705882,"IRT",6,43,0,6,0.890909090909091,1,0.5,0.877551020408163,1,0.934782608695652,"IRT",62,115,16,2,0.907692307692308,0.877862595419847,0.96875,0.982905982905983,0.877862595419847,0.92741935483871
400,100,40,0.3,0.7,"b",TRUE,0,2,3,"22, 38, 2, 4, 21, 24, 18, 8, 35, 33, 40, 16, 19, 3, 17, 9, 26, 14, 5, 25, 12, 39, 29, 13, 34, 7, 28, 23","rf_probs",70,0,174,6,0.28,0,0.921052631578947,0,0,NA,"rf_probs",12,0,43,0,0.218181818181818,0,1,NA,0,NA,"rf_probs",58,0,131,6,0.297435897435897,0,0.90625,0,0,NA
400,100,40,0.3,0.7,"b",TRUE,0,2,3,"22, 38, 2, 4, 21, 24, 18, 8, 35, 33, 40, 16, 19, 3, 17, 9, 26, 14, 5, 25, 12, 39, 29, 13, 34, 7, 28, 23","rf_class",68,164,10,8,0.928,0.942528735632184,0.894736842105263,0.953488372093023,0.942528735632184,0.947976878612717,"rf_class",9,43,0,3,0.945454545454545,1,0.75,0.934782608695652,1,0.966292134831461,"rf_class",59,121,10,5,0.923076923076923,0.923664122137405,0.921875,0.96031746031746,0.923664122137405,0.941634241245136
400,100,40,0.3,0.7,"b",TRUE,0,2,4,"19, 37, 27, 16, 23, 10, 25, 39, 14, 12, 22, 33, 34, 31, 15, 36, 29, 30, 17, 18, 20, 13, 9, 6, 38, 40, 35, 4","IRT",57,171,11,11,0.912,0.93956043956044,0.838235294117647,0.93956043956044,0.93956043956044,0.93956043956044,"IRT",13,27,9,0,0.816326530612245,0.75,1,1,0.75,0.857142857142857,"IRT",44,144,2,11,0.935323383084577,0.986301369863014,0.8,0.929032258064516,0.986301369863014,0.956810631229236
