condition,refGroupSize,focalGroupSize,nItems,prevRate,difRate,difType,balanced,aStrength,bStrength
1,400,400,40,0.12,0,none,none,0,0
2,400,400,40,0.3,0,none,none,0,0
3,400,400,80,0.12,0,none,none,0,0
4,400,400,80,0.3,0,none,none,0,0
5,400,200,40,0.12,0,none,none,0,0
6,400,200,40,0.3,0,none,none,0,0
7,400,200,80,0.12,0,none,none,0,0
8,400,200,80,0.3,0,none,none,0,0
9,400,100,40,0.12,0,none,none,0,0
10,400,100,40,0.3,0,none,none,0,0
11,400,100,80,0.12,0,none,none,0,0
12,400,100,80,0.3,0,none,none,0,0
13,2000,2000,40,0.12,0,none,none,0,0
14,2000,2000,40,0.3,0,none,none,0,0
15,2000,2000,80,0.12,0,none,none,0,0
16,2000,2000,80,0.3,0,none,none,0,0
17,2000,1000,40,0.12,0,none,none,0,0
18,2000,1000,40,0.3,0,none,none,0,0
19,2000,1000,80,0.12,0,none,none,0,0
20,2000,1000,80,0.3,0,none,none,0,0
21,2000,500,40,0.12,0,none,none,0,0
22,2000,500,40,0.3,0,none,none,0,0
23,2000,500,80,0.12,0,none,none,0,0
24,2000,500,80,0.3,0,none,none,0,0
25,400,400,40,0.12,0.05,both,TRUE,0.2,0.5
26,400,400,40,0.12,0.05,both,TRUE,0.2,1
27,400,400,40,0.12,0.05,both,TRUE,0.2,2
28,400,400,40,0.12,0.05,both,TRUE,0.5,0.5
29,400,400,40,0.12,0.05,both,TRUE,0.5,1
30,400,400,40,0.12,0.05,both,TRUE,0.5,2
31,400,400,40,0.12,0.05,both,TRUE,0.8,0.5
32,400,400,40,0.12,0.05,both,TRUE,0.8,1
33,400,400,40,0.12,0.05,both,TRUE,0.8,2
34,400,400,40,0.12,0.05,both,FALSE,0.2,0.5
35,400,400,40,0.12,0.05,both,FALSE,0.2,1
36,400,400,40,0.12,0.05,both,FALSE,0.2,2
37,400,400,40,0.12,0.05,both,FALSE,0.5,0.5
38,400,400,40,0.12,0.05,both,FALSE,0.5,1
39,400,400,40,0.12,0.05,both,FALSE,0.5,2
40,400,400,40,0.12,0.05,both,FALSE,0.8,0.5
41,400,400,40,0.12,0.05,both,FALSE,0.8,1
42,400,400,40,0.12,0.05,both,FALSE,0.8,2
43,400,400,40,0.12,0.4,both,TRUE,0.2,0.5
44,400,400,40,0.12,0.4,both,TRUE,0.2,1
45,400,400,40,0.12,0.4,both,TRUE,0.2,2
46,400,400,40,0.12,0.4,both,TRUE,0.5,0.5
47,400,400,40,0.12,0.4,both,TRUE,0.5,1
48,400,400,40,0.12,0.4,both,TRUE,0.5,2
49,400,400,40,0.12,0.4,both,TRUE,0.8,0.5
50,400,400,40,0.12,0.4,both,TRUE,0.8,1
51,400,400,40,0.12,0.4,both,TRUE,0.8,2
52,400,400,40,0.12,0.4,both,FALSE,0.2,0.5
53,400,400,40,0.12,0.4,both,FALSE,0.2,1
54,400,400,40,0.12,0.4,both,FALSE,0.2,2
55,400,400,40,0.12,0.4,both,FALSE,0.5,0.5
56,400,400,40,0.12,0.4,both,FALSE,0.5,1
57,400,400,40,0.12,0.4,both,FALSE,0.5,2
58,400,400,40,0.12,0.4,both,FALSE,0.8,0.5
59,400,400,40,0.12,0.4,both,FALSE,0.8,1
60,400,400,40,0.12,0.4,both,FALSE,0.8,2
61,400,400,40,0.12,0.7,both,TRUE,0.2,0.5
62,400,400,40,0.12,0.7,both,TRUE,0.2,1
63,400,400,40,0.12,0.7,both,TRUE,0.2,2
64,400,400,40,0.12,0.7,both,TRUE,0.5,0.5
65,400,400,40,0.12,0.7,both,TRUE,0.5,1
66,400,400,40,0.12,0.7,both,TRUE,0.5,2
67,400,400,40,0.12,0.7,both,TRUE,0.8,0.5
68,400,400,40,0.12,0.7,both,TRUE,0.8,1
69,400,400,40,0.12,0.7,both,TRUE,0.8,2
70,400,400,40,0.12,0.7,both,FALSE,0.2,0.5
71,400,400,40,0.12,0.7,both,FALSE,0.2,1
72,400,400,40,0.12,0.7,both,FALSE,0.2,2
73,400,400,40,0.12,0.7,both,FALSE,0.5,0.5
74,400,400,40,0.12,0.7,both,FALSE,0.5,1
75,400,400,40,0.12,0.7,both,FALSE,0.5,2
76,400,400,40,0.12,0.7,both,FALSE,0.8,0.5
77,400,400,40,0.12,0.7,both,FALSE,0.8,1
78,400,400,40,0.12,0.7,both,FALSE,0.8,2
79,400,400,40,0.3,0.05,both,TRUE,0.2,0.5
80,400,400,40,0.3,0.05,both,TRUE,0.2,1
81,400,400,40,0.3,0.05,both,TRUE,0.2,2
82,400,400,40,0.3,0.05,both,TRUE,0.5,0.5
83,400,400,40,0.3,0.05,both,TRUE,0.5,1
84,400,400,40,0.3,0.05,both,TRUE,0.5,2
85,400,400,40,0.3,0.05,both,TRUE,0.8,0.5
86,400,400,40,0.3,0.05,both,TRUE,0.8,1
87,400,400,40,0.3,0.05,both,TRUE,0.8,2
88,400,400,40,0.3,0.05,both,FALSE,0.2,0.5
89,400,400,40,0.3,0.05,both,FALSE,0.2,1
90,400,400,40,0.3,0.05,both,FALSE,0.2,2
91,400,400,40,0.3,0.05,both,FALSE,0.5,0.5
92,400,400,40,0.3,0.05,both,FALSE,0.5,1
93,400,400,40,0.3,0.05,both,FALSE,0.5,2
94,400,400,40,0.3,0.05,both,FALSE,0.8,0.5
95,400,400,40,0.3,0.05,both,FALSE,0.8,1
96,400,400,40,0.3,0.05,both,FALSE,0.8,2
97,400,400,40,0.3,0.4,both,TRUE,0.2,0.5
98,400,400,40,0.3,0.4,both,TRUE,0.2,1
99,400,400,40,0.3,0.4,both,TRUE,0.2,2
100,400,400,40,0.3,0.4,both,TRUE,0.5,0.5
101,400,400,40,0.3,0.4,both,TRUE,0.5,1
102,400,400,40,0.3,0.4,both,TRUE,0.5,2
103,400,400,40,0.3,0.4,both,TRUE,0.8,0.5
104,400,400,40,0.3,0.4,both,TRUE,0.8,1
105,400,400,40,0.3,0.4,both,TRUE,0.8,2
106,400,400,40,0.3,0.4,both,FALSE,0.2,0.5
107,400,400,40,0.3,0.4,both,FALSE,0.2,1
108,400,400,40,0.3,0.4,both,FALSE,0.2,2
109,400,400,40,0.3,0.4,both,FALSE,0.5,0.5
110,400,400,40,0.3,0.4,both,FALSE,0.5,1
111,400,400,40,0.3,0.4,both,FALSE,0.5,2
112,400,400,40,0.3,0.4,both,FALSE,0.8,0.5
113,400,400,40,0.3,0.4,both,FALSE,0.8,1
114,400,400,40,0.3,0.4,both,FALSE,0.8,2
115,400,400,40,0.3,0.7,both,TRUE,0.2,0.5
116,400,400,40,0.3,0.7,both,TRUE,0.2,1
117,400,400,40,0.3,0.7,both,TRUE,0.2,2
118,400,400,40,0.3,0.7,both,TRUE,0.5,0.5
119,400,400,40,0.3,0.7,both,TRUE,0.5,1
120,400,400,40,0.3,0.7,both,TRUE,0.5,2
121,400,400,40,0.3,0.7,both,TRUE,0.8,0.5
122,400,400,40,0.3,0.7,both,TRUE,0.8,1
123,400,400,40,0.3,0.7,both,TRUE,0.8,2
124,400,400,40,0.3,0.7,both,FALSE,0.2,0.5
125,400,400,40,0.3,0.7,both,FALSE,0.2,1
126,400,400,40,0.3,0.7,both,FALSE,0.2,2
127,400,400,40,0.3,0.7,both,FALSE,0.5,0.5
128,400,400,40,0.3,0.7,both,FALSE,0.5,1
129,400,400,40,0.3,0.7,both,FALSE,0.5,2
130,400,400,40,0.3,0.7,both,FALSE,0.8,0.5
131,400,400,40,0.3,0.7,both,FALSE,0.8,1
132,400,400,40,0.3,0.7,both,FALSE,0.8,2
133,400,400,80,0.12,0.05,both,TRUE,0.2,0.5
134,400,400,80,0.12,0.05,both,TRUE,0.2,1
135,400,400,80,0.12,0.05,both,TRUE,0.2,2
136,400,400,80,0.12,0.05,both,TRUE,0.5,0.5
137,400,400,80,0.12,0.05,both,TRUE,0.5,1
138,400,400,80,0.12,0.05,both,TRUE,0.5,2
